Second,Millisecond,Depth,Rate (CPM),Release Velocity (MM/S),Valid/Invalid
320,206,3.012,120,149,Valid
320,710,3.078,119,157,Valid
321,206,2.967,119,158,Valid
321,710,3.03,120,163,Valid
322,214,3.078,117,161,Valid
322,734,2.936,115,162,Valid
323,246,3.18,117,184,Valid
323,750,3.188,120,156,Valid
324,254,3.124,117,174,Valid
324,750,3.264,120,167,Valid
325,294,3.277,108,186,Valid
325,838,3.195,113,158,Valid
326,351,3.259,113,172,Valid
326,871,3.213,117,179,Valid
327,359,3.063,125,154,Valid
327,863,3.256,117,162,Valid
328,375,3.139,117,164,Valid
328,887,3.137,115,187,Valid
329,407,3.147,117,166,Valid
329,935,3.157,111,171,Valid
330,463,3.18,113,167,Valid
330,975,3.19,115,184,Valid
331,503,3.124,115,150,Valid
332,15,3.018,120,130,Valid
332,519,3.061,115,153,Valid
333,23,2.995,119,169,Valid
333,527,3.023,120,163,Valid
334,23,3.137,120,186,Valid
334,535,3.124,117,162,Valid
335,39,2.974,120,144,Valid
335,535,2.99,117,166,Valid
336,47,2.774,119,135,Valid
336,552,2.83,120,155,Valid
337,48,2.685,120,127,Valid
337,552,2.677,117,141,Valid
338,48,2.756,119,141,Valid
338,544,2.779,122,145,Valid
339,56,2.789,117,161,Valid
339,568,3.04,117,162,Valid
340,80,2.997,115,149,Valid
340,592,2.987,117,173,Valid
341,120,2.944,117,149,Valid
341,640,3.099,113,161,Valid
342,160,3.038,115,149,Valid
342,648,2.885,122,146,Valid
343,152,2.809,119,140,Valid
343,664,2.911,115,155,Valid
344,160,2.931,119,179,Valid
344,680,2.87,119,139,Valid
345,185,2.898,119,151,Valid
345,689,2.913,119,161,Valid
346,185,2.924,120,152,Valid
346,689,2.901,119,142,Valid
347,185,2.888,122,132,Valid
347,665,2.924,122,170,Valid
348,153,2.88,122,158,Valid
348,657,2.939,120,152,Valid
349,153,2.88,119,147,Valid
349,641,2.916,122,167,Valid
350,145,3.033,120,170,Valid
350,641,3.178,119,155,Valid
351,137,3.157,120,169,Valid
351,633,3.157,120,177,Valid
352,153,3.147,113,164,Valid
352,649,3.142,122,157,Valid
353,161,3.084,119,150,Valid
353,641,3.104,122,170,Valid
354,146,3.053,119,155,Valid
354,650,3.066,120,165,Valid
355,138,3.015,122,160,Valid
355,626,3.106,122,177,Valid
